"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript", "CSS", "YAML", "XML", "TypeScript JSX", "comment", "blank", "total"
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 14, 37
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\components.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\eslint.config.mjs", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\next.config.mjs", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 52
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\next.config.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 3, 8
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\package-lock.json", "JSON", 0, 0, 5025, 0, 0, 0, 0, 0, 0, 0, 1, 5026
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\package.json", "JSON", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 1, 78
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\postcss.config.mjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\public\placeholder-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\public\placeholder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\auth.ts", "TypeScript", 0, 0, 0, 0, 184, 0, 0, 0, 0, 37, 33, 254
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 3, 7
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\types\contact\contactSection.types.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\types\hooks\Common.types.ts", "TypeScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 3, 4, 48
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\types\hooks\MultilingualSection.types.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 6, 49
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\types\hooks\UseGenericList.types.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\types\hooks\WebSite.types.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 0, 0, 6, 9, 62
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\types\hooks\content.types.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 6, 42
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\types\hooks\form.types.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\types\hooks\language.types.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 7, 36
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\types\hooks\section.types.ts", "TypeScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 3, 7, 70
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\types\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\types\sections\news\newsSections.types.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\types\sections\service\serviceSections.types.ts", "TypeScript", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 11, 82
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\types\useUserSection.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 5, 3, 40
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\types\utils\CreateMainSubSection.types.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\types\utils\MainSectionComponents.types.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 18, 80
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\api\user.types.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 4, 6, 39
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\app\dashboard\News\NewsSectionConfig.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 6, 31
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\app\dashboard\News\addNews\News\LanguageCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 78, 3, 7, 88
